id,created_at,text
821821797217619969,2017-01-18 20:49:19,RT @NWSBayArea: Regional radars showing rain across the region #cawx https://t.co/tPACXtHU6o
821809233905623041,2017-01-18 19:59:24,"Prosecutor: East Bay inmate in murder-for-hire plot was cruel, calculated https://t.co/F4VYBp0Ja0 via @eastbaytimes"
821077145543852034,2017-01-16 19:30:21,Media: ACSO will not be releasing any information or photos of #NoorSalman. She is in federal custody and all requests should go to them.
820062448631713792,2017-01-14 00:18:18,"Dublin, CA, Jennifer Smith, 31, caught on video breaking into home and stealing. Now in custody at Santa Rita Jail.… https://t.co/e1XNAgQnVO"
819939250665713665,2017-01-13 16:08:45,"RT @AlamedaCoFire: FYI: Calaveras Rd closure, near Alameda County/Santa Clara County line due to #CAStorm damage. Details: https://t.co/Goj…"
819686192853618688,2017-01-12 23:23:12,"RT @DarwinBondGraha: Scammers ripped off insignia, names of police &amp; sheriff's, including OPD &amp; ACSO to sell fake merchandise. https://t.co…"
819594875309961216,2017-01-12 17:20:20,"RT @AlamedaCoFire: Per @AlamedaCounty Public Works, Palomares Rd remains closed btwn Palo Verde Rd in #CastroValley &amp; Niles Canyon Rd in #F…"
819372537310126080,2017-01-12 02:36:50,RT @AlamedaCoFire: #CastroValley: Palomares Rd remains closed to all traffic until further notice.  #ALCOPublicWorks is on site performing…
819370012989276160,2017-01-12 02:26:48,"RT @AlamedaCoFire: Sunol: Per #ALCOPublicWorks, Kilkare Road remains closed to all traffic until further notice. #CAStorm https://t.co/ffVQ…"
819364901185458176,2017-01-12 02:06:30,Niles Canyon Open. Drive slow please https://t.co/7s0IauTuL2
819319857762045953,2017-01-11 23:07:30,20 people arrested at illegal casino on 6600 block Bancroft. Illegal drugs/weapons. Unsanitary and unsafe living co… https://t.co/7TL55EqKxJ
819243997193375744,2017-01-11 18:06:04,RT @AlamedaCoFire: Recap: View of mudslides along Kilkare Rd in #Sunol. No reports of injuries. One family of 7 displaced. Road remains clo…
819059771751829505,2017-01-11 05:54:01,"Niles Canyon SR84 closed! Avoid Niles, Palomares and Kilkare Roads. https://t.co/HMj3AgIJjS"
819056010241327108,2017-01-11 05:39:04,Palomares Rd between Castro Valley and Sunol is now closed due to a mudslide. This area of the county has a lot of… https://t.co/smYaxdS11o
819042951066095616,2017-01-11 04:47:11,Flash Flood Warning! Attention Sunol and Niles Canyon. #castorm #CAflood #CAwx https://t.co/MHI6nV3HxO
819021804282880000,2017-01-11 03:23:09,RT @EastBayTimes: Alameda County votes to continue with controversial Urban Shield disaster training https://t.co/NUPW4wzbXm https://t.co/T…
819002665459798016,2017-01-11 02:07:06,RT @henrykleeKTVU: The @AlamedaCounty board of supes approves @ACSOSheriffs-hosted Urban Shield again. Protesters had decried what they cal…
819002338396385282,2017-01-11 02:05:48,Additional Road Closure info! https://t.co/xfkfc2r3zR
818969617158635521,2017-01-10 23:55:47,RT @DarwinBondGraha: 2 people shot and wounded by attackers who drove by on 14th street. Avoid downtown Oakland if possible. https://t.co/f…
818944694503649280,2017-01-10 22:16:45,Crow Canyon Rd closed again at mm 6.25 in Alameda County. Flooding. Use alternate routes https://t.co/oryQlZ65Id
818497082260484096,2017-01-09 16:38:06,"RT @AlamedaCounty: Welch Creek Road, Sunol, closed at Calaveras Road due to mudslides and downed tree. Please avoid the area. #CAflood #CAs…"
818490696269074432,2017-01-09 16:12:43,RT @OrlandoPolice: The Orlando Police Department family is heartbroken today.  One of our own was taken in the line of duty.  There are no…
818469343239385088,2017-01-09 14:47:52,Crow Canyon is open again! https://t.co/FDKcIupXPB
818309977123098625,2017-01-09 04:14:36,Expect this road closure for several more hours. A tree is also down and county crews are trying to get it removed.… https://t.co/Qn3uvkEdFA
818295002568630272,2017-01-09 03:15:06,RT @AlamedaCoFire: #CAStorm Update: Crow Canyon Rd closed btwn Bollinger Canyon Rd &amp; Norris Canyon Rd due to flooding. Plan alternate route…
818294986512793601,2017-01-09 03:15:02,Crow Canyon Rd mile marker 6.25. #castorm https://t.co/iafJ7UCadA
818263169558642688,2017-01-09 01:08:36,Good info on downed trees! https://t.co/hGsb65ECkz
818259185024438272,2017-01-09 00:52:46,Eastern part of Alameda County holding up. Winds are gusty on the Altamont so use caution when driving. #castorm https://t.co/BXdlqwMYtC
818133681579507713,2017-01-08 16:34:04,RT @NWSBayArea: Good morning from our #BayArea NWS office. Please tweet across any storm reports you have and tag us plus use #castorm. Tha…
818133644870963200,2017-01-08 16:33:55,RT @NWSBayArea: Latest update from the #HRRR shows more rain today and slowly clearing north-to-south by the evening. #bayarea #castorm #ca…
817945584531165184,2017-01-08 04:06:38,RT @NWSBayArea: Latest 20 minute radar loop ending at 7:40 pm. Rainfall spreading north and becoming heavier. #castorm #cawx https://t.co/6…
817898939051446272,2017-01-08 01:01:17,Thanks for a winning season #Oakland #Raiders. We were glad to be a part of it. https://t.co/XZmbMhy4v2
817870353653338112,2017-01-07 23:07:42,Wondering where this big storm is? Stay tuned to @NWSBayArea. Should start tonight! https://t.co/J9aGu12bZY
817869998102188032,2017-01-07 23:06:17,"RT @NWSBayArea: The Wind Advisories &amp; High Wind Warnings have been extended through 3PM Sunday. 
#CAwx #CAstorm https://t.co/UlhjDvmZpF"
817612484034998273,2017-01-07 06:03:01,"RT @NWSBayArea: Radar Update: widespread showers now across the region
#CAwx #CAstorm https://t.co/C0A2sC6GL0"
817528770659614720,2017-01-07 00:30:22,RT @itsec75: I signed up! https://t.co/0tVz2TZP8n
817528738061500416,2017-01-07 00:30:14,@itsec75 thanks for leading the charge!
817516351333888000,2017-01-06 23:41:01,Sign up for AC Alert to get information about weekend storm. #CAStorm #CAFlood. https://t.co/hGtUQIkHTA https://t.co/TDy139Kbt9
817236056277819392,2017-01-06 05:07:13,Weekend Storm information. Keep track via the national weather service @NWSBayArea. Use #CAstorm or #CAflood.… https://t.co/EsWnDYryFO
816804140139433984,2017-01-05 00:30:57,We welcome new  @oaklandpoliceca Chief Kirkpatrick to our county law enforcement partnership. https://t.co/WiW7q7oB0K
816751246212116480,2017-01-04 21:00:46,ACSO working shooting between 2 vehicles on E/B 580 @ Redwood Rd off ramp. No injuries reported. Suspects unknown.… https://t.co/6ClTeIkEoH
816718230718820352,2017-01-04 18:49:34,COLD CASE FILES https://t.co/MeQTRtZDyN
816717450980966400,2017-01-04 18:46:28,COLD CASE FILES https://t.co/QmS0K0gyQE
816431670089773058,2017-01-03 23:50:53,Cold Case Files https://t.co/SjHGoJqhHK
815356565347672064,2017-01-01 00:38:48,Thanks Matt. Happy New Year. https://t.co/PW8duk3N8f
814958158875475968,2016-12-30 22:15:40,Good work JD! https://t.co/EawpoIKIIt
814318671170400256,2016-12-29 03:54:35,Thanks Ken. https://t.co/8kkDpvInB5
814314334889250820,2016-12-29 03:37:21,We are doing an end of year citizen satisfaction survey. Please take a moment to fill it out if it applies to you. https://t.co/v8WCrgU2Xl
814200223455002627,2016-12-28 20:03:55,Press Release: Murder For Hire plot revealed by ACSO Detectives. Tikisha Upshaw and Wessley Brown in custody.… https://t.co/zUBlsLh0e5
813811205047349248,2016-12-27 18:18:05,Missing Person https://t.co/m9FUPfFKxs
813615812938330112,2016-12-27 05:21:40,"Proud of our very own Deputy Stinson. @UCBerkeley grad, artist and Deputy Sheriff. https://t.co/4dUD8oEknn"
812783152737333248,2016-12-24 22:12:59,#Oakland #Raiders Security Detail. A Great day for football. Happy Holidays everyone. Go Raiders! https://t.co/u0HwhWgMqK
812491536919240705,2016-12-24 02:54:12,Nice to see our friend Officer Robby Chon headed home for the holidays. Good news @SSFPolice ! https://t.co/jQuTYtJHYb
812347314064891906,2016-12-23 17:21:07,ICYMI: Robbery at one of our local unincorporated Hayward liquor stores. Thankfully no one killed. Suspect apprehen… https://t.co/AYgD6MoNKJ
812149330467401728,2016-12-23 04:14:24,@skippybadmitton yes
811794607566508035,2016-12-22 04:44:51,"This is a great continuing story by community, business, media and law enforcement. @oaklandpoliceca @SanLeandroPD… https://t.co/sDrvDq3G3g"
811742312589950976,2016-12-22 01:17:03,"RT @jtudorslpd: SLPD at Masters Barber shop recruiting with OPD and ACSO. Most important, building relationships https://t.co/uemNCSK48p"
811669869489860608,2016-12-21 20:29:11,RT @DroneIndPro: US: @ACSOSheriffs firefighters use heat-seeking #drone to identify hotspots and direct resources to put out fires https://…
811633454471254016,2016-12-21 18:04:29,Holiday Information: https://t.co/rftaDCc6QD
811088387021029376,2016-12-20 05:58:35,Please help our CHP partners https://t.co/7IDHI79ueg
810641067376668672,2016-12-19 00:21:06,RT @AlamedaCoFire: Castro Valley: The cause of this AM's fatality fire on the 20000 block of San Miguel Ave remains under investigation. ht…
810515604096487424,2016-12-18 16:02:33,RT @AlamedaCoFire: #CastroValley: Firefighters extinguish 1-alarm duplex fire less than 150 ft from firehouse. 1 confirmed fire fatality. U…
810513098318573573,2016-12-18 15:52:35,ACSO on scene. https://t.co/33I7kTPvUZ
809837106172346368,2016-12-16 19:06:26,"The victim is identified as Andrea St. John, age 59, Castro Valley. Our sincere condolences to her family. Any info… https://t.co/uyQ5UhDQfu"
809561844939571200,2016-12-16 00:52:39,Missing Person https://t.co/VJ6lXQoIGR
808885728084049920,2016-12-14 04:06:00,Homicide Press Release: https://t.co/7hqtHsGJeR https://t.co/qlU5b3pUO7
808815861528039424,2016-12-13 23:28:23,ACSO working Murder-Arson on 1800 block of Grove Wy. Castro Valley. Press briefing at 5pm Grove/Tanglewood.… https://t.co/v78Qgwc0mC
808552295805829120,2016-12-13 06:01:04,18 years ago today Deputy John Monego was killed in the line of duty. Please remember him and his family.… https://t.co/lv4y6YoarK
808535388050497536,2016-12-13 04:53:53,Thank you Deputy Steve Kidwell. A class act and plays the bagpipes. https://t.co/nyZzKUViQp
808495090444300289,2016-12-13 02:13:45,#NeverForget https://t.co/1SrRT1jfxK
808425394428747776,2016-12-12 21:36:48,RT @LauraAnthony7: The @ATFHQ has now pulled out...as the community pours in to pay respects at the #Ghostship warehouse where 36 died. htt…
808422582399569920,2016-12-12 21:25:38,"RT @henrykleeKTVU: Know him? No foul play, but he was found unresponsive and no one can ID him, per @AlamedaPD https://t.co/PxZkzfFWA7"
808353112456994816,2016-12-12 16:49:35,LOCATED https://t.co/bedfMzIh1L
808062650911330304,2016-12-11 21:35:23,RT @SanLeandroPD: Great job SLPD!  Congratulations on finishing the Dallas Marathon.  #bluestampede #BackTheBlue #proud2serve https://t.co/…
808016586325966848,2016-12-11 18:32:21,ACSO and @SanLeandroPD @jtudorslpd running Dallas Marathon. Looks like good running weather. Proud of our team. https://t.co/rwFxQrV72h
807392630506065920,2016-12-10 01:12:58,"Attention Media: Please refer to the following victims by their chosen name: Riley Fritz, 29, Berkeley &amp; Em Bohlka,… https://t.co/7c4T8kh22l"
807275811526934528,2016-12-09 17:28:46,"This is the final list of the 36 victims from the 31st Ave Fire. Our sincere condolences to families, friends and c… https://t.co/yloVY5vzpM"
807246442750324736,2016-12-09 15:32:04,RT @woodstiff: On @KTVU w\@GasiaKTVU at 9am discuss #trans names/issues #oaklandfire  @ACSOSheriffs @Oakland @oaklandpoliceca @OaklandFireD…
807239006299619328,2016-12-09 15:02:31,RT @KTVU: Oakland Fire Dept. brings in outside counselors for #ghostshipfire 1st responders: https://t.co/CMoS858ZKs
806953812321652736,2016-12-08 20:09:15,All 36 victims from the 31st Avenue fire have been identified and their families notified.
806677942721855488,2016-12-08 01:53:03,@DarwinBondGraha urban shield also had many fire and mass casualty management scenes. That training greatly helped us this week as you know
806677152129126400,2016-12-08 01:49:55,RT @taramoriarty1: #GhostShip #oaklandfire victims #MichelaGregory &amp; #AlexVega died in each other's arms according to @ACSOSheriffs ❤️❤️#KT…
806659610773843968,2016-12-08 00:40:12,Elderly Missing Man https://t.co/aMVXLZ5dtB
806641742560653312,2016-12-07 23:29:12,"ACSO has left the scene. @ATFHQ will remain there to do investigative work. Our sincere thanks to our partners, com… https://t.co/g3oZXY3lWY"
806590104978325504,2016-12-07 20:04:01,The family of given name Justin Fritz would like their child referred to by her chosen name Riley Fritz. Please respect wishes. @woodstiff
806173816443400192,2016-12-06 16:29:50,"RT @oaklandpoliceca: 12/6/16 @ 6:00am - No additional victims located overnight at 31st Ave, 85-90% of building searched, power outage stil…"
806173630572818434,2016-12-06 16:29:06,RT @oaklandpoliceca: OPD is directing relief donations to https://t.co/IR9gOfVgIF (Oakland Fire Relief/Organizer: Oakland Athletics) https:…
806158323158368257,2016-12-06 15:28:16,"RT @AlamedaCountyDA: DA Nancy O'Malley has issued a statement regarding the tragic fire on 31st Ave, Oakland, on Friday evening: https://t.…"
