id,created_at,text
621372506298032128,2015-07-15 17:35:24,Check out our July 2015 newsletter http://t.co/aJvZrogMLI http://t.co/aJvZrogMLI
580184228542873600,2015-03-24 01:47:54,"@mirella_rangel No, just posting much less frequently."
580158783248211968,2015-03-24 00:06:47,"ICYMI: Mayor Libby Schaaf is NOW tweeting under the handle @LibbySchaaf. ""Lets get social"""
576911972706332673,2015-03-15 01:05:07,#yoellwedding2015 http://t.co/yk14OzowS0
576907728607547392,2015-03-15 00:48:15,#yoellwedding2015 http://t.co/LcsLPBcTsk
562016517772935168,2015-02-01 22:35:54,Happy Super Bowl Sunday #Oakland! http://t.co/CAWC5mNa6A
561253356115468288,2015-01-30 20:03:22,I just voted for Oakland to get $40k for community gardens. Cast your vote now at http://t.co/4agzWGNv4R !!
558699222283726848,2015-01-23 18:54:09,"I need your vote again... to help West Oakland win a $40,000 to build an inter-generational community garden! Vote: http://t.co/nxFg0V1pIS"
558662756514004992,2015-01-23 16:29:15,"RT @eoydc: Congratulations to @reginaoak receiving the Citizen Humanitarian Award! 

http://t.co/ndrkbju8t2"
554897052073992192,2015-01-13 07:05:41,That Fire-Shooting Snail Car That Mayor Libby Schaaf Keeps Driving Around Oakland Is the Best Thing Ever http://t.co/luG5EeoZk6
553814712924639232,2015-01-10 07:24:51,Libby Schaaf’s first act as mayor was for the dogs http://t.co/IEr5RecBFx via @SFGate
549981333598908416,2014-12-30 17:32:22,Excited that 2 developers r vying to refurbish Oakland’s Kaiser Convention Center! http://t.co/a7TphpqeHA via @sfchronicle
547641366143315968,2014-12-24 06:34:11,An Amazing 4 years ... #constantcontact http://t.co/BsO7tW80Wd
546785997573201921,2014-12-21 21:55:15,"RT @EmergeCA: Loving this @SFGate profile on Oakland's 'Girl Scout Barracuda' @libbyformayor, who's also @EmergeCA alum http://t.co/OegCpue…"
546759960072171520,2014-12-21 20:11:47,"End racism, bias &amp; fear of others. See the humanity in all. #BlackLivesMatter #AllLivesMatter"
546759562284371968,2014-12-21 20:10:12,My prayers go out to the families of NYPD Officers Ramos &amp; Liu &amp; all - esp #OPD - who share their pain. + 1/2
